 INFO  Accepting connections at http://localhost:50912
 HTTP  9/21/2026 5:32:08 PM ::1 GET /
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 43 ms
 HTTP  9/21/2026 5:32:08 PM ::1 GET /css/styles.css
 HTTP  9/21/2026 5:32:08 PM ::1 GET /css/footer.css
 HTTP  9/21/2026 5:32:08 PM ::1 GET /css/loading-animation.css
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 10 ms
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 10 ms
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 9 ms
 HTTP  9/21/2026 5:32:08 PM ::1 GET /assets/images/loading/cinema-room.webp
 HTTP  9/21/2026 5:32:08 PM ::1 GET /assets/images/loading/mlsc-letters-light.png
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 4 ms
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 4 ms
 HTTP  9/21/2026 5:32:08 PM ::1 GET /assets/videos/mascot/praxis%20coming%20soon%20w.webp
 HTTP  9/21/2026 5:32:08 PM ::1 GET /js/footer.js
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 21 ms
 HTTP  9/21/2026 5:32:08 PM ::1 GET /js/fluid-glass-bundle.js
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 89 ms
 HTTP  9/21/2026 5:32:08 PM ::1 GET /js/script.js
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 51 ms
 HTTP  9/21/2026 5:32:08 PM ::1 GET /js/loading-animation.js
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 24 ms
 HTTP  9/21/2026 5:32:08 PM ::1 Returned 200 in 1955 ms
 HTTP  9/21/2026 5:32:10 PM ::1 GET /assets/images/mascots/brie-navbar.svg
 HTTP  9/21/2026 5:32:10 PM ::1 Returned 200 in 5 ms
 HTTP  9/21/2026 5:32:11 PM ::1 GET /favicon.ico
 HTTP  9/21/2026 5:32:11 PM ::1 Returned 404 in 3 ms
 HTTP  9/21/2026 5:32:12 PM ::1 GET /assets/videos/mascot/praxis%20coming%20soon%20w.webp?t=1789992132262
 HTTP  9/21/2026 5:32:12 PM ::1 Returned 200 in 1 ms
 HTTP  9/21/2026 5:32:12 PM ::1 GET /assets/3d/lens.glb
 HTTP  9/21/2026 5:32:12 PM ::1 Returned 200 in 4 ms
 HTTP  9/21/2026 5:32:52 PM ::1 GET /events.html
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 301 in 1 ms
 HTTP  9/21/2026 5:32:52 PM ::1 GET /events
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 200 in 4 ms
 HTTP  9/21/2026 5:32:52 PM ::1 GET /css/styles.css
 HTTP  9/21/2026 5:32:52 PM ::1 GET /css/events.css
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 304 in 2 ms
 HTTP  9/21/2026 5:32:52 PM ::1 GET /assets/images/event-mascots/Brie-flying.png
 HTTP  9/21/2026 5:32:52 PM ::1 GET /css/footer.css
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 200 in 11 ms
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 304 in 5 ms
 HTTP  9/21/2026 5:32:52 PM ::1 GET /js/footer.js
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 304 in 3 ms
 HTTP  9/21/2026 5:32:52 PM ::1 Returned 200 in 19 ms
 HTTP  9/21/2026 5:32:53 PM ::1 GET /js/events.js
 HTTP  9/21/2026 5:32:53 PM ::1 GET /js/script.js
